Index  Temperature[C]  Zr[at%]         Nb[at%]         Mo[at%]         Cr[at%]         Al[at%]         Ti[at%]         Ta[at%]         W[at%]          Time[h]         MassChange[mg.cm2](Real) MassChange[mg.cm2](Predicted)
193    1200.00000      0.00000         0.00000         21.25000        21.25000        15.00000        0.21250         21.25000        0.00000         13.49882        3.82324                4.15184               
194    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         12.65014        -0.03282               -0.02592              
195    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         1.04900         1.98012                2.54860               
196    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         18.46847        43.98585               44.59264              
197    1200.00000      0.00000         0.00000         19.50000        19.80000        20.20000        20.40000        20.10000        0.00000         5.00000         2.14613                2.54545               
198    1200.00000      0.00000         0.00000         23.75000        23.75000        23.75000        23.75000        5.00000         0.00000         4.49654         2.41089                3.28667               
199    800.00000       0.00000         45.00000        0.00000         0.00000         10.00000        30.00000        15.00000        0.00000         10.49069        5.47402                5.48924               
200    1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         10.00000        3.14658                3.35342               
201    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         51.50150        82.71401               83.95258              
202    1200.00000      0.00000         0.00000         25.00000        25.00000        25.00000        25.00000        0.00000         0.00000         14.74370        -0.20562               -0.05472              
203    1100.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         8.50450         2.70293                2.89555               
204    1200.00000      0.00000         0.00000         0.00000         11.90000        0.00000         37.20000        50.90000        0.00000         24.00000        123.65777              124.10000             
205    1000.00000      18.50000        21.80000        10.00000        18.40000        0.00000         19.40000        11.90000        0.00000         23.47347        50.90339               52.14312              
206    1000.00000      0.00000         20.00000        20.00000        20.00000        20.00000        20.00000        0.00000         0.00000         10.00000        1.62827                1.86047               
207    1200.00000      0.00000         0.00000         22.50000        22.50000        22.50000        22.50000        10.00000        0.00000         3.49402         2.15808                2.64926               
